feature,mean_importance
ticket_12749,-0.019272133108457636
name_karl,-0.015320287490792062
name_edvin,-0.015206125482695353
ticket_34651,-0.0117071393472435
name_peter,-0.008294966766728851
home.dest_plymouth,-0.0076783908292053175
home.dest_hants,-0.0075960293536633024
name_hansen,-0.007247905503961349
name_george,-0.006860714047059502
ticket_paris,-0.006263113919620267
name_elias,-0.006214079294775599
ticket_35273,-0.005657584610930022
home.dest_england,-0.005477085808878668
name_edward,-0.0049864360581056925
home.dest_chesterville,-0.004984096283861361
name_daniel,-0.004809790131830871
name_august,-0.004126650995135784
home.dest_chicago,-0.004123732977152028
home.dest_il,-0.00407882384012852
name_patrick,-0.003990070626659281
ticket_113781,-0.0037883254609832663
name_thomas,-0.003694700858358391
home.dest_lexington,-0.0035827772825818504
name_ellen,-0.0033613020798758165
home.dest_liverpool,-0.0030124295591041684
name_bertram,-0.002434430596908843
home.dest_haiti,-0.0019458133427385782
ticket_11767,-0.0019038167835014664
name_alexander,-0.0018310172372319133
ticket_o2,-0.0016548973482899188
home.dest_austria,-0.0015854087392913607
name_charles,-0.0014614700050654462
home.dest_mt,-0.0013702560600548752
home.dest_rockford,-0.0013277243337964206
ticket_ston,-0.0012864920389298318
name_harry,-0.0012686935143350509
name_margaret,-0.0012577835626741418
name_joseph,-0.001215169709812769
name_alfred,-0.0011833878461054992
home.dest_oh,-0.0010833849384016768
home.dest_sea,-0.0010715594576203857
name_ernest,-0.0008988431621906656
home.dest_winnipeg,-0.0007144229740648989
ticket_sc,-0.0006458053518081819
name_andersson,-0.0005190017576423234
name_henry,-0.00046042342804106793
name_anna,-0.0003896209265052297
home.dest_ma,-0.00033533096485585114
name_edith,-0.0003309733518918279
ticket_oq,-0.00021155208055469998
ticket_2123,-9.143838501914913e-05
name_robert,-6.27050091474457e-05
name_maria,-5.43353069684116e-05
home.dest_guernsey,-5.074556117818929e-05
home.dest_somerset,-5.071590570040474e-05
home.dest_stockholm,-4.4498428665118436e-05
name_leonard,-3.498441214022652e-05
ticket_36973,0.0
ticket_349213,0.0
ticket_26360,0.0
ticket_2627,0.0
ticket_250651,0.0
ticket_244367,0.0
ticket_349237,0.0
ticket_349909,0.0
ticket_236853,0.0
ticket_35281,0.0
ticket_367230,0.0
ticket_2315,0.0
ticket_36928,0.0
ticket_348124,0.0
ticket_2662,0.0
ticket_347079,0.0
ticket_347078,0.0
ticket_315153,0.0
ticket_315095,0.0
ticket_3337,0.0
ticket_315093,0.0
ticket_3101315,0.0
ticket_33595,0.0
ticket_3101295,0.0
ticket_3101279,0.0
ticket_315098,0.0
ticket_347054,0.0
ticket_347072,0.0
ticket_347074,0.0
ticket_2926,0.0
ticket_29106,0.0
ticket_29105,0.0
ticket_347077,0.0
ticket_2908,0.0
ticket_2673,0.0
ticket_3101278,0.0
ticket_315096,0.0
ticket_28220,0.0
ticket_376564,0.0
home.dest_madrid,0.0
home.dest_mawr,0.0
home.dest_middlesex,0.0
home.dest_minneapolis,0.0
home.dest_moscow,0.0
home.dest_newark,0.0
home.dest_ns,0.0
home.dest_ohio,0.0
home.dest_portland,0.0
home.dest_providence,0.0
home.dest_ri,0.0
home.dest_rochester,0.0
home.dest_rotherfield,0.0
home.dest_ruotsinphytaa,0.0
home.dest_vancouver,0.0
home.dest_washington,0.0
home.dest_wichita,0.0
home.dest_worcester,0.0
home.dest_wv,0.0
home.dest_ks,0.0
home.dest_indianapolis,0.0
home.dest_india,0.0
home.dest_hill,0.0
ticket_376566,0.0
ticket_382652,0.0
ticket_392096,0.0
ticket_4133,0.0
ticket_6607,0.0
ticket_6608,0.0
ticket_aq,0.0
home.dest_aberdeen,0.0
home.dest_altdorf,0.0
ticket_370129,0.0
home.dest_bc,0.0
ticket_220845,0.0
home.dest_bryn,0.0
home.dest_dc,0.0
home.dest_devon,0.0
home.dest_essex,0.0
home.dest_greenport,0.0
home.dest_halifax,0.0
home.dest_harrow,0.0
home.dest_hartford,0.0
home.dest_belfast,0.0
home.dest_bernardsville,0.0
home.dest_youngstown,0.0
name_bertha,0.0
name_white,0.0
name_col,0.0
name_svensson,0.0
name_sofia,0.0
name_graham,0.0
name_heilmann,0.0
name_helen,0.0
name_smith,0.0
name_herman,0.0
name_hocking,0.0
name_ida,0.0
name_rice,0.0
name_johannes,0.0
name_cacic,0.0
name_percival,0.0
name_palsson,0.0
name_olof,0.0
name_carter,0.0
name_nils,0.0
name_nellie,0.0
name_johnston,0.0
name_jussila,0.0
name_carl,0.0
name_michael,0.0
name_kink,0.0
name_lamson,0.0
name_lefebre,0.0
name_louise,0.0
name_paul,0.0
ticket_110152,0.0
name_albert,0.0
ticket_17464,0.0
ticket_17760,0.0
name_elsie,0.0
ticket_17758,0.0
ticket_17757,0.0
ticket_17756,0.0
ticket_17603,0.0
ticket_17593,0.0
ticket_17582,0.0
ticket_17572,0.0
ticket_17483,0.0
name_dr,0.0
ticket_17477,0.0
ticket_111361,0.0
name_marion,0.0
ticket_11769,0.0
name_emma,0.0
name_davies,0.0
ticket_13695,0.0
ticket_13236,0.0
ticket_13050,0.0
ticket_11813,0.0
ticket_112058,0.0
ticket_113798,0.0
name_cor,0.0
ticket_113760,0.0
ticket_113505,0.0
name_johan,7.364643015717043e-06
home.dest_nj,0.00021141697719826436
parch,0.00024816017005171445
body,0.00029288114618000185
home.dest_mi,0.0003740928774335517
home.dest_wi,0.00042864229227375096
home.dest_mb,0.0004642055762314135
ticket_17761,0.0005531875810433462
home.dest_ottawa,0.0005643925406350281
name_kelly,0.0005667191093015944
ticket_19950,0.0006293889873560943
name_harris,0.0006433204900347267
home.dest_kent,0.0007285684679625648
sibsp,0.000763494715876667
name_benjamin,0.0008034185573548624
name_mary,0.0008194178773885507
name_allison,0.0008495989773058988
name_nora,0.0008730737403154665
name_alice,0.0009388074854429496
home.dest_montreal,0.0009453745291840398
name_richard,0.001020845132622905
ticket_347080,0.0010245631454773197
name_elizabeth,0.001131661386022742
ticket_soton,0.0011702252970508642
name_frederick,0.0012663196844430401
home.dest_akron,0.0012733561522400906
home.dest_niagara,0.0012853338314439578
